,id,display_name,fx_stablecoin,max_slippage_percentage,status
58,ENS-USD,ENS/USD,False,0.03000000,online
59,NMR-BTC,NMR/BTC,False,0.03000000,online
60,ERN-USDT,ERN/USDT,False,0.03000000,online
61,AUCTION-EUR,AUCTION/EUR,False,0.03000000,online
62,FX-USD,FX/USD,False,0.03000000,online
63,AAVE-USD,AAVE/USD,False,0.03000000,online
64,SHPING-EUR,SHPING/EUR,False,0.03000000,online
65,NEST-USD,NEST/USD,False,0.03000000,online
66,AIOZ-USD,AIOZ/USD,False,0.03000000,online
67,BICO-USD,BICO/USD,False,0.03000000,online
68,GRT-GBP,GRT/GBP,False,0.03000000,online
69,GRT-EUR,GRT/EUR,False,0.03000000,online
70,REQ-USD,REQ/USD,False,0.03000000,online
71,LOKA-USD,LOKA/USD,False,0.03000000,online
72,NCT-EUR,NCT/EUR,False,0.03000000,online
73,KNC-USD,KNC/USD,False,0.03000000,online
74,CHZ-USD,CHZ/USD,False,0.03000000,online
75,ALCX-USDT,ALCX/USDT,False,0.03000000,online
76,PLU-USD,PLU/USD,False,0.03000000,online
77,CBETH-USD,cbETH/USD,False,0.03000000,online
78,VGX-EUR,VGX/EUR,False,0.03000000,online
79,ERN-EUR,ERN/EUR,False,0.03000000,delisted
80,DOT-GBP,DOT/GBP,False,0.03000000,online
81,AAVE-EUR,AAVE/EUR,False,0.03000000,online
82,BLUR-USD,BLUR/USD,False,0.03000000,online
83,JASMY-USDT,JASMY/USDT,False,0.03000000,online
84,SPA-USD,SPA/USD,False,0.03000000,online
85,GFI-USD,GFI/USD,False,0.03000000,online
86,ARPA-USDT,ARPA/USDT,False,0.03000000,online
87,LOOM-USD,LOOM/USD,False,0.03000000,delisted
88,NU-USD,NU/USD,False,0.03000000,delisted
89,NMR-EUR,NMR/EUR,False,0.03000000,online
90,XTZ-USD,XTZ/USD,False,0.03000000,online
91,MIR-USD,MIR/USD,False,0.03000000,delisted
92,OP-USD,OP/USD,False,0.03000000,online
93,BIT-USDT,BIT/USDT,False,0.03000000,online
94,PERP-EUR,PERP/EUR,False,0.03000000,online
95,BUSD-USD,BUSD/USD,True,0.01000000,delisted
96,ICP-GBP,ICP/GBP,False,0.03000000,online
97,ETH-USD,ETH/USD,False,0.02000000,online
98,TRAC-USD,TRAC/USD,False,0.03000000,online
99,FIDA-USD,FIDA/USD,False,0.03000000,online
100,YFII-USD,YFII/USD,False,0.03000000,delisted
101,NCT-USD,NCT/USD,False,0.03000000,online
102,WBTC-USD,WBTC/USD,False,0.03000000,online
103,XTZ-GBP,XTZ/GBP,False,0.03000000,online
104,HIGH-USD,HIGH/USD,False,0.03000000,online
105,WAXL-USD,WAXL/USD,False,0.03000000,online
106,GNO-USD,GNO/USD,False,0.03000000,online
107,SOL-ETH,SOL/ETH,False,0.03000000,online
108,REQ-GBP,REQ/GBP,False,0.03000000,online
109,CBETH-ETH,cbETH/ETH,True,0.01000000,online
110,SNX-BTC,SNX/BTC,False,0.03000000,online
111,1INCH-EUR,1INCH/EUR,False,0.03000000,online
112,POLY-USD,POLY/USD,False,0.03000000,online
113,JASMY-USD,JASMY/USD,False,0.03000000,online
114,RNDR-USD,RNDR/USD,False,0.03000000,online
115,BCH-EUR,BCH/EUR,False,0.03000000,online
116,1INCH-BTC,1INCH/BTC,False,0.03000000,online
117,CRV-USD,CRV/USD,False,0.03000000,online
